0 0 3.999999165535E-02
1 0 1.795955747366E-02
2 0 0.000000000000E+00
3 0 0.000000000000E+00
4 0 0.000000000000E+00
0 1 6.400000303984E-02
1 1 2.944043651223E-02
2 1 0.000000000000E+00
3 1 0.000000000000E+00
4 1 0.000000000000E+00
0 2 7.200000435114E-02
1 2 3.361918777227E-02
2 2 0.000000000000E+00
3 2 0.000000000000E+00
4 2 0.000000000000E+00
0 3 6.400000303984E-02
1 3 2.944043464959E-02
2 3 0.000000000000E+00
3 3 0.000000000000E+00
4 3 0.000000000000E+00
0 4 3.999999165535E-02
1 4 1.795954443514E-02
2 4 0.000000000000E+00
3 4 0.000000000000E+00
4 4 0.000000000000E+00
